respondent_id,choice_set,label,choice_ind,package,terms,diet,state,survey_completion_secs,gender,age,us_region,household_income,fast_food_frequency,primary_grocery_shopper,occupation,ethnicity,primary_role_org,marital_status,housing,household_size,main_grocery_store,education,main_fast_food,final_comments,data_source
121975304,1,1,0,package 1,thick&juicy,omnivore,Arizona,135,Female,66.0,West,"$100,000 - $149,999",One to three times per week,I participate equally in grocery purchase decision,Retired,White,I don't work,Divorced,Rented house,5,Prefer not to say,High School/Tertiary/Tech. College,,,pilot
121975308,1,1,0,package 1,thick&juicy,omnivore,New Hampshire,200,Female,42.0,Northeast,"$50,000 - $79,999",Less than once per week,Yes,Full-time work,White,Faculty/Teaching Staff,Married,Owned house;Rented apartment,2,Prefer not to say,University/Higher Education,Subway,,pilot
121975312,1,1,0,package 1,thick&juicy,reducer,Ohio,161,Male,75.0,Midwest,"$25,000 - $49,999",Prefer not to say,I participate equally in grocery purchase decision,Retired,White,I don't work,Married,Owned house,2,Save-A-Lot (US),University/Higher Education,Dairy Queen,,pilot
121975321,1,1,0,package 1,thick&juicy,omnivore,Texas,125,Male,59.0,South,"$50,000 - $79,999",Less than once per week,Yes,Own business / Self-employed / Freelance,Other,Technical Staff,Single / Never married,Owned house,2,Prefer not to say,University/Higher Education,,,pilot
121975323,1,1,0,package 1,thick&juicy,omnivore,Pennsylvania,156,Female,26.0,Northeast,"$15,000 - $24,999",One to three times per week,No,Unemployed,White,I don't work,Single / Never married,Living with my parents,4,Prefer not to say,University/Higher Education,,This was a nice little survey. ,pilot
121975327,1,1,0,package 1,thick&juicy,omnivore,Michigan,352,Female,64.0,Midwest,"$0 - $14,999",Less than once per week,Yes,Retired,White,I don't work,Divorced,Owned house,1,Prefer not to say,High School/Tertiary/Tech. College,Arby's,,pilot
121975331,1,1,0,package 1,thick&juicy,omnivore,Oklahoma,121,Female,44.0,South,"$15,000 - $24,999",One to three times per week,Yes,Homemaker,White,I don't work,Domestic partnership / Living with partner,Rented apartment,5,Walmart (US),High School/Tertiary/Tech. College,,,pilot
121975337,1,1,0,package 1,thick&juicy,omnivore,Pennsylvania,165,Female,74.0,South,"$100,000 - $149,999",One to three times per week,I participate equally in grocery purchase decision,Retired,White,I don't work,Married,Owned house,2,,University/Higher Education,,,pilot
121975338,1,1,0,package 1,thick&juicy,omnivore,Indiana,118,Female,26.0,Midwest,"$15,000 - $24,999",Less than once per week,I participate equally in grocery purchase decision,Full-time work,White,,Domestic partnership / Living with partner,,2,,High School/Tertiary/Tech. College,,,pilot
121975342,1,1,0,package 1,thick&juicy,omnivore,Pennsylvania,172,Male,43.0,Northeast,"$15,000 - $24,999",Less than once per week,I participate equally in grocery purchase decision,Unemployed,White,,Divorced,,2,,High School/Tertiary/Tech. College,,,pilot
121975355,1,1,1,package 1,thick&juicy,omnivore,Arizona,164,Female,71.0,West,"$150,000 - $199,999",Less than once per week,I participate equally in grocery purchase decision,Part-time work;Part-time work,White,Administrative/Clerical,Married,Owned house,2,Prefer not to say,University/Higher Education;University/Higher Education,Arby's,I'm gluten free so without bread is more appealing for me,pilot
121975412,1,1,0,package 1,thick&juicy,omnivore,Massachusetts,94,Female,44.0,Northeast,,,,Full-time work,White,C-level executive,Married,Owned house,5,,University/Higher Education,,,pilot
121975419,1,1,0,package 1,thick&juicy,omnivore,Ohio,278,Female,71.0,Midwest,,,,Retired,White,,Married,Owned house,2,,University/Higher Education,,,pilot
121975421,1,1,1,package 1,thick&juicy,omnivore,Florida,172,Male,60.0,South,"$0 - $14,999",,,,White,,,,,,High School/Tertiary/Tech. College,,Great survey,pilot
